threads,desempenho,cenario
1,84794,"Cenário 1"
2,39926,"Cenário 1"
4,21335,"Cenário 1"
8,13075,"Cenário 1"
16,10097,"Cenário 1"
32,9071,"Cenário 1"
64,8437,"Cenário 1"
128,8876,"Cenário 1"
256,0,"Cenário 1"
512,0,"Cenário 1"
1,87781,"Cenário 2"
2,45516,"Cenário 2"
4,23710,"Cenário 2"
8,12254,"Cenário 2"
16,7746,"Cenário 2"
32,5889,"Cenário 2"
64,5625,"Cenário 2"
128,5711,"Cenário 2"
256,7067,"Cenário 2"
512,6244,"Cenário 2"
1,0,"Cenário 3"
2,0,"Cenário 3"
4,0,"Cenário 3"
8,0,"Cenário 3"
16,0,"Cenário 3"
32,0,"Cenário 3"
64,5226,"Cenário 3"
128,5628,"Cenário 3"
256,5871,"Cenário 3"
512,6152,"Cenário 3"
1,0,"Cenário 4"
2,0,"Cenário 4"
4,0,"Cenário 4"
8,0,"Cenário 4"
16,0,"Cenário 4"
32,0,"Cenário 4"
64,4448,"Cenário 4"
128,4458,"Cenário 4"
256,4533,"Cenário 4"
512,4904,"Cenário 4"
1,0,"Cenário 5"
2,0,"Cenário 5"
4,0,"Cenário 5"
8,0,"Cenário 5"
16,0,"Cenário 5"
32,0,"Cenário 5"
64,4197,"Cenário 5"
128,4108,"Cenário 5"
256,4644,"Cenário 5"
512,11720,"Cenário 5"
