,ID,Name,Age,Photo,Nationality
0,158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,Argentina
1,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal
2,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,Brazil
3,193080,De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,Spain
4,192985,K. De Bruyne,27,https://cdn.sofifa.org/players/4/19/192985.png,Belgium
5,183277,E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,Belgium
6,177003,L. Modrić,32,https://cdn.sofifa.org/players/4/19/177003.png,Croatia
7,176580,L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,Uruguay
8,155862,Sergio Ramos,32,https://cdn.sofifa.org/players/4/19/155862.png,Spain
9,200389,J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,Slovenia
10,188545,R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,Poland
11,182521,T. Kroos,28,https://cdn.sofifa.org/players/4/19/182521.png,Germany
12,182493,D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,Uruguay
13,168542,David Silva,32,https://cdn.sofifa.org/players/4/19/168542.png,Spain
14,215914,N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,France
15,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina
16,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,England
17,194765,A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,France
18,192448,M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,Germany
19,192119,T. Courtois,26,https://cdn.sofifa.org/players/4/19/192119.png,Belgium
20,189511,Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,Spain
21,179813,E. Cavani,31,https://cdn.sofifa.org/players/4/19/179813.png,Uruguay
22,167495,M. Neuer,32,https://cdn.sofifa.org/players/4/19/167495.png,Germany
23,153079,S. Agüero,30,https://cdn.sofifa.org/players/4/19/153079.png,Argentina
24,138956,G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,Italy
25,231747,K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,France
26,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,Egypt
