quantity,class,time
1000,"Mongoclient conj. pequeno",2.2678000000000003
10000,"Mongoclient conj. pequeno",1.8111000000000002
100000,"Mongoclient conj. pequeno",2.3333000000000004
200000,"Mongoclient conj. pequeno",2.7967
1000,"Mongoose conj. pequeno",2.6086
10000,"Mongoose conj. pequeno",2.5594999999999994
100000,"Mongoose conj. pequeno",2.5594999999999994
200000,"Mongoose conj. pequeno",5.4866
1000,"Mongoclient conj. grande",7.099199999999999
10000,"Mongoclient conj. grande",2.0215000000000005
100000,"Mongoclient conj. grande",2.2872
200000,"Mongoclient conj. grande",2.7217
1000,"Mongoose conj. grande",2.551
10000,"Mongoose conj. grande",2.5623
100000,"Mongoose conj. grande",3.5505000000000004
200000,"Mongoose conj. grande",5.2411
