quantity,class,time
1000,"Mongoclient conj. pequeno",24.414300000000004
10000,"Mongoclient conj. pequeno",116.61089999999999
100000,"Mongoclient conj. pequeno",920.7031999999999
200000,"Mongoclient conj. pequeno",1894.1208
1000,"Mongoose conj. pequeno",151.54770000000002
10000,"Mongoose conj. pequeno",790.0516
100000,"Mongoose conj. pequeno",8572.5256
200000,"Mongoose conj. pequeno",17365.885700000003
1000,"Mongoclient conj. grande",20.534600000000005
10000,"Mongoclient conj. grande",95.2597
100000,"Mongoclient conj. grande",889.2588
200000,"Mongoclient conj. grande",1893.5312999999999
1000,"Mongoose conj. grande",341.6460000000001
10000,"Mongoose conj. grande",2691.4978
100000,"Mongoose conj. grande",27911.137299999995
200000,"Mongoose conj. grande",59120.421899999994
