quantity,class,time
1000,"Mongoclient conj. pequeno",52.4
10000,"Mongoclient conj. pequeno",0
100000,"Mongoclient conj. pequeno",0
200000,"Mongoclient conj. pequeno",0
1000,"Mongoose conj. pequeno",17.2
10000,"Mongoose conj. pequeno",0
100000,"Mongoose conj. pequeno",0
200000,"Mongoose conj. pequeno",25.2
1000,"Mongoclient conj. grande",52.8
10000,"Mongoclient conj. grande",0
100000,"Mongoclient conj. grande",0
200000,"Mongoclient conj. grande",0
1000,"Mongoose conj. grande",0
10000,"Mongoose conj. grande",0
100000,"Mongoose conj. grande",0
200000,"Mongoose conj. grande",0
